,items
1458,607037
1459,140321
1460,254493
1461,154002
1462,1420770
1463,155381,806803
1464,1871026
1465,620288
1466,1083818,1928796
1467,154652
1468,164593
1469,1325648
1470,152836
1471,616682
1472,1418138
1473,2256658
1474,1613579
1475,1366699
1476,146684
1477,172027
1478,872951
1479,1401470
1480,443517
1481,2635020
1482,2232451
1483,1498534
1484,263699
1485,1433766,730008
1486,168610
1487,1618682
1488,571441
1489,141300
1490,238402
1491,1254547
1492,145906
1493,132738
1494,1033454
1495,268562
1496,123793
1497,164051
1498,1317846
1499,317759
1500,1869763
1501,1331220
1502,194182
1503,166633,851603
1504,1090064
1505,127865
1506,595269
1507,450618
1508,569795
1509,123793
1510,152836
1511,137585
1512,1429022
1513,848251
1514,125424
1515,1229740
1516,1240309
1517,1889597
1518,712527
1519,2934869
1520,1213427
1521,1842684,263981,963476
1522,1866411
1523,161541
1524,1486261
1525,1473668
1526,943243
1527,494731
1528,765009
1529,308150
1530,1515649
1531,828743
1532,268562
1533,1515339
1534,1954806
1535,323450,1620576
1536,1031440
1537,123373
1538,1566348
1539,145906
1540,1793868
1541,144051
1542,123793
1543,136860,172914
1544,401533
1545,271428
1546,1689615
1547,1546247
1548,1858651
1549,2595491
1550,1420770
1551,1009546
1552,1516843
1553,665360
1554,1180533
1555,1164757
1556,814116
1557,184374
1558,547674,577391
1559,2248191
1560,364092
1561,172914
1562,943243
1563,1812370
1564,578862
1565,1226293
1566,859889
1567,2035790
1568,376881
1569,427952
1570,131698
1571,1378631
1572,1543836
1573,1417294
1574,1731993
1575,254960
1576,1822664
1577,2673874
1578,132135
1579,937638
1580,153475
1581,166633
1582,1337205,429191
1583,1549763
1584,1069879
1585,131533
1586,135750
1587,2261828
1588,141688
1589,528243,1438673
1590,948002
1591,165468,155381
1592,130259
1593,137585
1594,634755
1595,820057
1596,1729232
1597,154652
1598,176490
1599,1017773
1600,166633
1601,1050242
1602,450618
1603,555311
1604,1057664
1605,1454376
1606,2746761,348662,368245
1607,1930948,640839
1608,174086
1609,982621
1610,167112
1611,334588
1612,1229740
1613,125424
1614,1689209
1615,149739
1616,2900163,276259
1617,235441
1618,1333481
1619,1299555,331706
1620,222318,1572307
1621,2414738
1622,1650899
1623,590893
1624,1638062
1625,2650888
1626,1373610
1627,1340234
1628,208647
1629,1114441
1630,127865
1631,1213752
1632,169179
1633,137585
1634,1989948
1635,1335648
1636,1620576
1637,2168553
1638,151551
1639,128959
1640,218606
1641,128730
1642,699053
1643,789767
1644,241759
1645,127495
1646,1992625,134393
1647,1872602
1648,789767
1649,2609834
1650,1695878
1651,1254547
1652,178058
1653,196859
1654,1817073
1655,145906
1656,124204
1657,143094
1658,160612
1659,2586703
1660,977381
1661,1024498
1662,125564
1663,1163310
1664,134849,149655
1665,1001829
1666,2064568
1667,987743
1668,174086
1669,1172052
1670,129831
1671,134393
1672,1896772
1673,721403,148089
1674,1361162,1337205
1675,145906
1676,127865
1677,1484383
1678,1976130
1679,311350
1680,1215281,1918815,327817,1760942
1681,154002,139086
1682,131533
1683,1831674
1684,1634480
1685,435001
1686,1947410
1687,1861964
1688,246037,1876426
1689,422368,2672183
1690,1231865,498544
1691,1944753
1692,1626903
1693,603369
1694,124553
1695,2343054
1696,172027
1697,693849
1698,862446
1699,859889
1700,1678888,1335648,451969
1701,2900227
1702,943243
1703,1058632
1704,1066244
1705,1706448
1706,178058
1707,382919,808736,1783600
1708,1160869
1709,597613
1710,1820237,383730,1696364
1711,870021,1317846,1677685
1712,451754,341450
1713,1697200
1714,1404676
1715,371022
1716,1019581
1717,1821110,1413486
1718,940367,2735011,710834
1719,1188641
1720,1432504,2577550
1721,1395875
1722,298830
1723,2235312,1347799,834814
1724,1133906
1725,938882,717182,1969604
1726,730604,1622747
1727,607670,1085718,427568
1728,1056939,2556160
1729,2894542
1730,1404676
1731,168610
1732,127495
1733,1163129,1710886
1734,127081
1735,1833819,269172
1736,1416608,1390827
1737,1650899
1738,1273589
1739,123793
1740,2129553
1741,146684
1742,1145592
1743,403038
1744,199457
1745,1076157
1746,714374
1747,2141414,2343090
1748,154002
1749,1711936,809891
1750,624407
1751,154002
1752,1259708
1753,1768956,360595
1754,1333316
1755,2014299,1312996,1625843,1522107,127865
1756,2339359
1757,1651708
1758,127865
1759,162634
1760,131533
1761,1706040
1762,1547051
1763,1057664
1764,141300
1765,1200223
1766,166633
1767,1449570
1768,1013498
1769,1899687
1770,1383321
1771,2494898
1772,2493150
1773,200393
1774,2481108
1775,131698
1776,832622
1777,1316404
1778,184374
1779,545632
1780,1989948
1781,721403
1782,2379488,713790,1113191,178429,442500
1783,154002
1784,164051
1785,166633
1786,162634
1787,131117
1788,1799377
1789,1851598
1790,1790955,1766461,1317878
1791,2151515
1792,1465824
1793,123793
1794,909677
1795,124204
1796,127495
1797,2058499
1798,987536
1799,1956527
1800,1227811
1801,127865
1802,2576099
1803,2039074,404235
1804,796216
1805,2204233
1806,2725259,2845075
1807,1978905
1808,2228385
1809,2951658
1810,1050242
1811,168610
1812,2126992
1813,141761
1814,1319519
1815,147594
1816,2465812,2163773
1817,1333316
1818,573593
1819,265806
1820,1610801
1821,590893
1822,178429
1823,241461
1824,1424883,1628630
1825,2015956,1257871,1435687
1826,921642
1827,178058
1828,871172
1829,127865
1830,196859
1831,169961
1832,1328898
1833,1920477
1834,1272718
1835,800975
1836,1033454
1837,1498329
1838,1768956
1839,1893305
1840,174086
1841,141761
1842,144051
1843,1566348
1844,1924247
1845,1962198,1045956
1846,130259
1847,130727
1848,1808901
1849,1801597
1850,1090064
1851,795320
1852,986296
1853,153475
1854,123793
1855,1962198
1856,988239
1857,168610
1858,1347405
1859,2548121
1860,130727
1861,137585
1862,1109803
1863,1768956,527130
1864,1680252
1865,2460736
1866,344877
1867,830504
1868,1937688
1869,1845435
1870,1205016
1871,127865
1872,1181529
1873,620288
1874,2440235
1875,1057664
1876,620288
1877,123793
1878,1473684
1879,183194
1880,1565667
1881,1695279
1882,1133906,124204,815195
1883,216959,153475
1884,1961311
1885,466944
1886,1079034
1887,145906
1888,1905844
1889,416213
1890,1440124
1891,136110,1132917,776873
1892,145906
1893,164593
1894,133584
1895,138431
1896,1002863
1897,218606
1898,1908561
1899,1920477
1900,1213752
1901,224876
1902,195076
1903,125465,1690461
1904,834620
1905,684381
1906,1534103
1907,913142,763288
1908,2365898
1909,172027
1910,127495
1911,287235
1912,765872
1913,1882156
1914,164051
1915,258206,1223725
1916,362332
1917,1172052
1918,199231
1919,1407374
1920,729362
1921,184374
1922,883661
1923,1831026
1924,517802
1925,2548121
1926,1981995
1927,2654735
1928,1363651,2917165,2704615,1650003,1913825,1729496,2862443,2248191
1929,1044125
1930,1772362
1931,1539576
1932,136110
1933,132738
1934,182578
1935,472922
1936,1564333
1937,140877,943243
1938,1145592
1939,834620
1940,1515339
1941,135750
1942,1112955
1943,947192
1944,2396177
1945,2755484
1946,1261393
1947,2343090
1948,2029039
1949,1256956
1950,1354920
1951,1207360,1592185
1952,2549740
1953,2930542
1954,379441,311350,2821340,2771463
1955,2273798
1956,918397
1957,1564333,2203043
1958,2537366,2647046
1959,459535
1960,2150854
1961,1435687
1962,2552714
1963,2590650
1964,710834
1965,1598390
1966,932347,741141,1069265,262756,511441,1631851
1967,2250584,1322953,2046224
1968,2668203
1969,1298692,2730831,766885,1628630,1995373,1566870
1970,1600987
1971,1428822
1972,1887219
1973,1944337,653960,1904556
1974,291364,230856
1975,1171343
1976,1685489
1977,884056,1543836
1978,950224,342311,405197
1979,2865104
1980,2936752,2711691
1981,176025
1982,168610
1983,1031440
1984,145906
1985,147594
1986,377131
1987,1523096
1988,123793
1989,136110
1990,1566348
1991,1167757
1992,455720
1993,1689615
1994,1076484
1995,123373
1996,795320
1997,305868,147594
1998,180843
1999,1689615
2000,136110
2001,166633
2002,152836
2003,2595752
2004,136860
2005,898283,2796868
2006,972509,2424516
2007,414009
2008,721403
2009,176025,146684
2010,203856
2011,1549763
2012,1973037,330238
2013,142179
2014,617013
2015,943243
2016,131533
2017,1410653
2018,671958
2019,1429022
2020,181453
2021,162491
2022,154002
2023,901186
2024,1947410
2025,1664350
2026,196859
2027,126335
2028,2396750
2029,645694
2030,1988815
2031,141548
2032,468020
2033,136110
2034,1515649
2035,182578
2036,146684
2037,1056939
2038,144727
2039,164593
2040,1168767
2041,2674810
2042,2231364
2043,2015956
2044,276603,463334
2045,149655
2046,128959
2047,1105210
2048,148089
2049,183945
2050,1106101
2051,134393
2052,193179
2053,1437612
2054,1110928
2055,137585
2056,142179
2057,797218
2058,653960
2059,1058632,1119245
2060,714449
2061,1044125
2062,174086
2063,946530
2064,1949394
2065,174086
2066,1057664
2067,1858651,2261828
2068,1138755
2069,1497935
2070,1805488
2071,806803
2072,902200
2073,989029
2074,561864
2075,154002
2076,153475
2077,123793
2078,148690
2079,2510283
2080,2478494
2081,1091654,1549763
2082,287235
2083,858304
2084,1076484
2085,323450
2086,343137
2087,609487,233953,983905
2088,637670
2089,532135
2090,645460,124553,1425193
